avenue,대로;수단;방법
drop by,잠깐 들르다
sidewalk,보도;인도
abide by,따르다
alley,골목길
awkward,난처한;불편한;서투른
be backed up,(교통이) 정체되다
behind the wheel,운전하여
boulevard,큰 길;대로
break down,고장나다
crooked,굽은;구부러진
dealership,(자동차) 판매 대리점
dent,움푹 들어가게 하다;움푹 들어간 곳
go downhill,더 나빠지다;질이 떨어지다
hold up traffic,교통을 정체시키다
honk,경적을 울리다
mass transit,대중 교통
midway,중간쯤에
passage,통로;통행;통과;변화;경과
pavement,포장 도로;보도;인도
skid,미끄러지다
straightaway,즉시;곧바로
take the wheel,운전하다
tow,견인하다
transit,통과;통행;통과하다;횡단하다
at a standstill,정지한;정체한
beneficiary,수혜자
bond,채권;유대감
booming,급속히 발전하는
bourgeois,중산 계급의;속물적인;부르주아
breadwinner,부양자
cut back on,~을 삭감하다;~을 줄이다
deductible,세금 공제가 되는
deprive A of B,A에게서 B를 빼앗다
deprived,가난한;불우한
down payment,계약금
fall short of,~에 미치지 못하다
file an income tax return,소득세를 신고하다
full-time earner,정규직 근로자
fundraiser,기금모금행사
go through the roof,폭등하다
homeowner,자택 소유자
impoverished,빈곤에 처한;가난해진
in good standing,신용 상태가 좋은
levy taxes,세금을 부과하다
live beyond one's means,분수에 넘치게 살다
make a fortune,큰 재산을 모으다
make ends meet,수입과 지출의 균형을 맞추다
monetary value,금전적 가치
per capita income,1인당 소득
private sector,민간 부문
rosy,낙관적인
save a bundle,크게 절약하다
self-sufficiency,자급자족
shortfall,부족;부족액
squeeze money,돈을 뜯어내다
stagnate,침체하다
stagnation,침체;불경기
standard of living,생활 수준
yield,"(결과, 이익을) 내다;생산량;수확;양도하다;항복하다"
additive,첨가물
all-you-can-eat,뷔페 식의
be sick of,~에 넌더리나다
bite,간단한 식사;물린 상터;물다
cuisine,요리
dine,식사하다;정찬을 들다
diner,간이 식당;식사하는 사람
fortified wine,알코올을 강화한 포도주
gratuity,팁;사례금
hangover,숙취
intake,섭취;섭취량
it's on me,내가 낼게
leftover,남은 음식
liquor,술;주류
